block_idx,color_cue,condition,correct,cue_present,draw_trajectory,goes_in,good_cue,hole,kind,layout,num_bounces,response,rt,score,show_feedback,time_elapsed,trial,trial_index,trial_type,trials_completed,wall_cue,pid
0.0,False,13.0,False,True,True,False,True,instruct_1,instruct,300_1.6,2.0,yes,14580.0,0.0,True,153631,1.0,7,ball,1.0,False,0
0.0,False,13.0,False,True,True,False,True,instruct_0,instruct,300_1.6,1.0,yes,2212.0,0.0,True,160526,2.0,8,ball,2.0,False,0
0.0,False,13.0,True,True,True,False,True,instruct_5,instruct,300_1.6,2.0,no,4164.0,1.0,True,168943,3.0,9,ball,3.0,False,0
0.0,False,13.0,True,True,True,False,True,instruct_4,instruct,300_1.6,1.0,no,2165.0,2.0,True,175502,4.0,10,ball,4.0,False,0
0.0,False,13.0,True,True,True,True,True,instruct_7,instruct,0_1.6,2.0,yes,1005.0,3.0,True,180622,5.0,11,ball,5.0,False,0
0.0,False,13.0,False,True,True,True,True,instruct_2,instruct,0_1.6,1.0,no,3710.0,3.0,True,188519,6.0,12,ball,6.0,False,0
0.0,False,13.0,True,True,True,True,True,instruct_3,instruct,0_1.6,2.0,yes,1692.0,4.0,True,194350,7.0,13,ball,7.0,False,0
0.0,False,13.0,True,True,True,True,True,instruct_6,instruct,0_1.6,1.0,yes,1517.0,5.0,True,199958,8.0,14,ball,8.0,False,0
1.0,background,13.0,True,True,True,True,True,easy_6,easy,0_1.4,1.0,yes,7206.0,1.0,True,223806,1.0,18,ball,9.0,False,0
1.0,background,13.0,False,True,True,False,True,easy_0,easy,300_1.4,1.0,yes,2589.0,1.0,True,230430,2.0,19,ball,10.0,False,0
1.0,background,13.0,True,True,True,False,True,easy_5,easy,300_1.4,1.0,no,6029.0,2.0,True,240862,3.0,20,ball,11.0,False,0
1.0,background,13.0,True,False,True,False,True,easy_1,easy,300_1.4,1.0,no,1621.0,3.0,True,246766,4.0,21,ball,12.0,False,0
1.0,background,13.0,False,True,True,True,True,easy_7,easy,0_1.4,1.0,no,4580.0,3.0,True,255167,5.0,22,ball,13.0,False,0
1.0,background,13.0,True,False,True,False,True,easy_9,easy,300_1.4,1.0,no,957.0,4.0,True,260606,6.0,23,ball,14.0,False,0
1.0,background,13.0,True,True,True,True,True,easy_11,easy,0_1.4,1.0,yes,1237.0,5.0,True,265621,7.0,24,ball,15.0,False,0
1.0,background,13.0,False,False,True,False,True,easy_4,easy,300_1.4,1.0,yes,2740.0,5.0,True,272125,8.0,25,ball,16.0,False,0
1.0,background,13.0,True,False,True,True,True,easy_10,easy,0_1.4,1.0,yes,2805.0,6.0,True,278798,9.0,26,ball,17.0,False,0
