time_elapsed,trial_index,trial_type,pid
200962,15,call-function,0
219282,15,call-function,1
169846,13,call-function,2
249251,13,call-function,3
67300,13,call-function,4
363652,21,call-function,5
537682,13,call-function,6
228406,15,call-function,7
263833,13,call-function,8
273282,15,call-function,9
225156,13,call-function,10
207063,15,call-function,11
247516,13,call-function,12
554901,13,call-function,13
155897,13,call-function,14
393441,13,call-function,15
512860,17,call-function,16
334684,13,call-function,17
173561,15,call-function,18
130014,15,call-function,19
139021,15,call-function,20
429175,15,call-function,21
211422,13,call-function,22
285315,17,call-function,23
149331,13,call-function,24
195448,15,call-function,25
195968,15,call-function,26
195316,15,call-function,27
204409,13,call-function,28
228737,13,call-function,29
145458,15,call-function,30
237868,15,call-function,31
505234,19,call-function,32
139639,15,call-function,33
439677,13,call-function,34
172438,17,call-function,35
186405,13,call-function,36
201261,15,call-function,37
175241,15,call-function,38
384947,15,call-function,39
318608,15,call-function,40
141216,15,call-function,41
181593,13,call-function,42
243704,13,call-function,43
200413,15,call-function,44
235512,15,call-function,45
156669,13,call-function,46
329184,13,call-function,47
493128,19,call-function,48
226125,15,call-function,49
176051,13,call-function,50
96967,13,call-function,51
244507,15,call-function,52
367783,13,call-function,53
154999,15,call-function,54
201422,13,call-function,55
145072,15,call-function,56
338560,17,call-function,57
182508,13,call-function,58
261949,13,call-function,59
243232,13,call-function,60
322243,15,call-function,61
228992,13,call-function,62
499452,15,call-function,63
174484,15,call-function,64
154987,13,call-function,65
192629,13,call-function,66
243756,15,call-function,67
191094,13,call-function,68
227090,21,call-function,69
346513,13,call-function,70
161547,13,call-function,71
192851,15,call-function,72
343569,15,call-function,73
180302,13,call-function,74
146583,15,call-function,75
148942,17,call-function,76
71335,13,call-function,77
381574,17,call-function,78
255326,15,call-function,79
221467,15,call-function,80
321283,15,call-function,81
330245,15,call-function,82
184497,13,call-function,83
170581,15,call-function,84
182097,13,call-function,85
406321,13,call-function,86
256660,15,call-function,87
278089,13,call-function,88
313265,13,call-function,89
183531,15,call-function,90
205543,15,call-function,91
205736,13,call-function,92
235473,19,call-function,93
141065,13,call-function,94
534119,19,call-function,95
391051,15,call-function,96
226052,17,call-function,97
378339,15,call-function,98
167705,15,call-function,99
297652,15,call-function,100
316587,15,call-function,101
238555,19,call-function,102
187945,15,call-function,103
187371,15,call-function,104
133772,13,call-function,105
173524,17,call-function,106
211992,15,call-function,107
278959,21,call-function,108
134963,15,call-function,109
356936,17,call-function,110
201760,13,call-function,111
297491,15,call-function,112
654761,15,call-function,113
259924,15,call-function,114
288652,17,call-function,115
195727,17,call-function,116
112483,13,call-function,117
261490,15,call-function,118
