questions,responses,rt,time_elapsed,trial_index,trial_type,pid
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': ""No, sometimes I selected the wrong answer, mostly on Green, because I wasn't sure where it was going to go."", 'Q2': '', 'Q0': 'I realized B always had the ball go through the hole, and Y never did.'}",45151.0,1157508,158,survey-text,0
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': ""at first i didn't know that it would be as consistant so i changed when it seemed to be"", 'Q2': '', 'Q0': ""It seemed that yellow always would, green wouldn't, blue sometimes""}",38056.0,2298760,158,survey-text,1
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No', 'Q2': 'No', 'Q0': 'I attempted to judge the angles by where the ball would hit the other walls.'}",26581.0,928490,156,survey-text,2
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'no', 'Q2': 'thank you', 'Q0': 'i would calculate the bounce of the ball'}",33652.0,1575319,156,survey-text,3
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'no', 'Q2': 'good', 'Q0': 'color of player'}",12778.0,934762,156,survey-text,4
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No. I did not change the strategy', 'Q2': 'Nothing', 'Q0': 'Based on the ball position'}",68763.0,1837208,164,survey-text,5
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No.', 'Q2': ""If I recall it correctly, in the instructions, it was mentioned that we'll be asked in the BEGINNING of each block which player is playing which game. Wasn't it AFTER? I'm not sure and may be very much wrong. Anyways, thank you."", 'Q0': 'I tried to predict the path of the ball given on the direction it was shown going.'}",262117.0,2235561,156,survey-text,6
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No.', 'Q2': 'I had fun.', 'Q0': 'I tried to judge how it would bounce. I sometimes used my mouse to draw out a path I thought likely.'}",26326.0,1179540,158,survey-text,7
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': 'No', 'Q2': 'Guessing which player is trying to avoid/reach the hole is tough.', 'Q0': 'by guessing he path.'}",60904.0,1245604,156,survey-text,8
"['How did you decide whether or not the ball would go in the hole?', 'Did you change your strategy at any point during the experiment?', ""Anything else you'd like to tell us?""]","{'Q1': '', 'Q2': '', 'Q0': ""Visualize it's future path based on direction.""}",55321.0,1087797,158,survey-text,11
