block_idx,color_cue,condition,correct,cue_present,draw_trajectory,goes_in,good_cue,hole,key_press,kind,layout,num_bounces,response,rt,score,show_feedback,time_elapsed,trial,trial_index,trial_type,trials_completed,wall_cue,pid
0.0,False,6.0,False,True,True,False,True,instruct_1,,instruct,300_1.6,2.0,yes,13170.0,0.0,True,387629.0,1.0,5.0,ball,1.0,False,0
0.0,False,6.0,True,True,True,True,True,instruct_2,,instruct,0_1.6,1.0,yes,4008.0,1.0,True,396862.0,2.0,6.0,ball,2.0,False,0
0.0,False,6.0,True,True,True,False,True,instruct_4,,instruct,300_1.6,1.0,no,6667.0,2.0,True,408688.0,3.0,7.0,ball,3.0,False,0
0.0,False,6.0,True,True,True,False,True,instruct_5,,instruct,300_1.6,2.0,no,4454.0,3.0,True,419701.0,4.0,8.0,ball,4.0,False,0
0.0,False,6.0,False,True,True,True,True,instruct_3,,instruct,0_1.6,2.0,no,7087.0,3.0,True,432046.0,5.0,9.0,ball,5.0,False,0
0.0,False,6.0,True,True,True,False,True,instruct_0,,instruct,300_1.6,1.0,no,3755.0,4.0,True,440680.0,6.0,10.0,ball,6.0,False,0
0.0,False,6.0,True,True,True,True,True,instruct_6,,instruct,0_1.6,1.0,yes,3625.0,5.0,True,449801.0,7.0,11.0,ball,7.0,False,0
0.0,False,6.0,True,True,True,True,True,instruct_7,,instruct,0_1.6,2.0,yes,2429.0,6.0,True,457300.0,8.0,12.0,ball,8.0,False,0
1.0,background,6.0,True,True,True,True,True,easy_14,,easy,0_1.4,1.0,yes,3552.0,1.0,False,543855.0,1.0,16.0,ball,9.0,False,0
1.0,background,6.0,True,False,True,True,True,easy_10,,easy,0_1.4,1.0,yes,5322.0,2.0,False,552604.0,2.0,17.0,ball,10.0,False,0
1.0,background,6.0,False,False,True,True,True,easy_3,,easy,0_1.4,1.0,no,4581.0,2.0,False,560879.0,3.0,18.0,ball,11.0,False,0
1.0,background,6.0,True,False,True,False,True,easy_5,,easy,300_1.4,1.0,no,3434.0,3.0,False,568175.0,4.0,19.0,ball,12.0,False,0
1.0,background,6.0,True,False,True,False,True,easy_4,,easy,300_1.4,1.0,no,6138.0,4.0,False,576177.0,5.0,20.0,ball,13.0,False,0
1.0,background,6.0,True,False,True,True,True,easy_2,,easy,0_1.4,1.0,yes,2849.0,5.0,False,581514.0,6.0,21.0,ball,14.0,False,0
1.0,background,6.0,True,False,True,False,True,easy_0,,easy,300_1.4,1.0,no,3371.0,6.0,False,587591.0,7.0,22.0,ball,15.0,False,0
1.0,background,6.0,True,True,True,True,True,easy_11,,easy,0_1.4,1.0,yes,2660.0,7.0,False,592681.0,8.0,23.0,ball,16.0,False,0
1.0,background,6.0,True,True,True,False,True,easy_8,,easy,300_1.4,1.0,no,2962.0,8.0,False,598141.0,9.0,24.0,ball,17.0,False,0
1.0,background,6.0,True,True,True,False,True,easy_1,,easy,300_1.4,1.0,no,2791.0,9.0,False,603344.0,10.0,25.0,ball,18.0,False,0
1.0,background,6.0,True,True,True,False,True,easy_12,,easy,300_1.4,1.0,no,2583.0,10.0,False,608402.0,11.0,26.0,ball,19.0,False,0
1.0,background,6.0,True,True,True,True,True,easy_6,,easy,0_1.4,1.0,yes,6767.0,11.0,False,617740.0,12.0,27.0,ball,20.0,False,0
1.0,background,6.0,True,True,True,True,True,control_0,,control,control,0.0,yes,1411.0,12.0,False,621062.0,13.0,28.0,ball,21.0,False,0
2.0,background,6.0,True,False,True,False,True,standard_17,,standard,200_2.2,2.0,no,2465.0,1.0,False,630401.0,1.0,30.0,ball,22.0,False,0
2.0,background,6.0,True,False,True,False,True,easy_9,,easy,300_1.4,1.0,no,2290.0,2.0,False,634918.0,2.0,31.0,ball,23.0,False,0
2.0,background,6.0,True,False,True,True,True,easy_11,,easy,0_1.4,1.0,yes,1635.0,3.0,False,638298.0,3.0,32.0,ball,24.0,False,0
2.0,background,6.0,True,True,True,True,True,control_6,,control,control,0.0,yes,1098.0,4.0,False,641407.0,4.0,33.0,ball,25.0,False,0
2.0,background,6.0,True,True,True,True,True,easy_7,,easy,0_1.4,1.0,yes,2665.0,5.0,False,646530.0,5.0,34.0,ball,26.0,False,0
2.0,background,6.0,True,True,True,True,True,easy_10,,easy,0_1.4,1.0,yes,2006.0,6.0,False,650395.0,6.0,35.0,ball,27.0,False,0
2.0,background,6.0,True,False,True,False,True,easy_12,,easy,300_1.4,1.0,no,1851.0,7.0,False,654175.0,7.0,36.0,ball,28.0,False,0
2.0,background,6.0,True,True,True,False,True,easy_13,,easy,300_1.4,1.0,no,7333.0,8.0,False,663383.0,8.0,37.0,ball,29.0,False,0
2.0,background,6.0,False,False,True,True,True,easy_6,,easy,0_1.4,1.0,no,2135.0,8.0,False,667353.0,9.0,38.0,ball,30.0,False,0
2.0,background,6.0,True,True,True,False,True,standard_20,,standard,200_2.2,1.0,no,3291.0,9.0,False,672308.0,10.0,39.0,ball,31.0,False,0
2.0,background,6.0,False,True,True,True,True,standard_2,,standard,0_2.2,1.0,no,2482.0,9.0,False,676695.0,11.0,40.0,ball,32.0,False,0
2.0,background,6.0,True,True,True,False,True,easy_0,,easy,300_1.4,1.0,no,1587.0,10.0,False,679974.0,12.0,41.0,ball,33.0,False,0
2.0,background,6.0,True,True,True,False,True,easy_4,,easy,300_1.4,1.0,no,5280.0,11.0,False,687150.0,13.0,42.0,ball,34.0,False,0
3.0,background,6.0,True,False,True,False,True,standard_5,,standard,200_2.2,2.0,no,3435.0,1.0,False,706096.0,1.0,44.0,ball,35.0,False,0
3.0,background,6.0,True,True,True,True,True,easy_3,,easy,0_1.4,1.0,yes,2887.0,2.0,False,710814.0,2.0,45.0,ball,36.0,False,0
3.0,background,6.0,True,False,True,False,True,easy_1,,easy,300_1.4,1.0,no,1494.0,3.0,False,714042.0,3.0,46.0,ball,37.0,False,0
3.0,background,6.0,False,True,True,True,True,standard_18,,standard,0_2.2,1.0,no,3580.0,3.0,False,719395.0,4.0,47.0,ball,38.0,False,0
3.0,background,6.0,True,False,True,True,True,easy_14,,easy,0_1.4,1.0,yes,2450.0,4.0,False,723631.0,5.0,48.0,ball,39.0,False,0
