key_press,rt,time_elapsed,trial_index,trial_type,pid
32.0,45058.0,45066.0,0.0,text,0
32.0,147678.0,193760.0,1.0,text,0
81.0,114635.0,309401.0,2.0,text,0
32.0,5582.0,366719.0,4.0,text,0
32.0,74491.0,532820.0,14.0,text,0
32.0,1903.0,535734.0,15.0,text,0
32.0,2919.0,624999.0,29.0,text,0
32.0,1606.0,689772.0,43.0,text,0
32.0,1299.0,758830.0,57.0,text,0
32.0,1467.0,849979.0,71.0,text,0
32.0,5102.0,915417.0,85.0,text,0
32.0,1675.0,970853.0,99.0,text,0
32.0,1300.0,1026822.0,113.0,text,0
32.0,104284.0,1174568.0,127.0,text,0
32.0,1631.0,1228133.0,140.0,text,0
32.0,1563.0,1313358.0,155.0,text,0
32.0,11380.0,11387.0,0.0,text,1
32.0,69822.0,82221.0,1.0,text,1
81.0,33646.0,116883.0,2.0,text,1
81.0,23461.0,166689.0,4.0,text,1
32.0,3128.0,185124.0,6.0,text,1
32.0,7143.0,245742.0,16.0,text,1
32.0,1444.0,248189.0,17.0,text,1
32.0,2269.0,333502.0,31.0,text,1
32.0,32223.0,446642.0,45.0,text,1
32.0,78842.0,599793.0,59.0,text,1
32.0,1259.0,675659.0,73.0,text,1
32.0,1736.0,766238.0,87.0,text,1
32.0,1443.0,858775.0,101.0,text,1
32.0,942.0,945181.0,115.0,text,1
32.0,1504.0,1047179.0,129.0,text,1
32.0,3838.0,1136218.0,142.0,text,1
32.0,11501.0,1209401.0,157.0,text,1
32.0,3066.0,3072.0,0.0,text,2
32.0,31108.0,35180.0,1.0,text,2
81.0,76651.0,112845.0,2.0,text,2
81.0,63186.0,218893.0,4.0,text,2
32.0,5376.0,317603.0,6.0,text,2
32.0,6944.0,389869.0,16.0,text,2
32.0,1805.0,392676.0,17.0,text,2
32.0,2219.0,477845.0,31.0,text,2
32.0,993.0,548533.0,45.0,text,2
32.0,1000.0,618492.0,59.0,text,2
32.0,2467.0,692429.0,73.0,text,2
32.0,1269.0,766733.0,87.0,text,2
32.0,860.0,842300.0,101.0,text,2
32.0,853.0,925916.0,115.0,text,2
32.0,1616.0,1008981.0,129.0,text,2
32.0,5337.0,1090789.0,142.0,text,2
32.0,1673.0,1150188.0,157.0,text,2
32.0,4425.0,4430.0,0.0,text,3
32.0,15645.0,21084.0,1.0,text,3
81.0,39860.0,61958.0,2.0,text,3
81.0,32171.0,117229.0,4.0,text,3
32.0,5091.0,135808.0,6.0,text,3
32.0,10285.0,211352.0,16.0,text,3
32.0,2047.0,214404.0,17.0,text,3
32.0,1813.0,300777.0,31.0,text,3
32.0,2705.0,394479.0,45.0,text,3
32.0,1275.0,478440.0,59.0,text,3
32.0,1008.0,566374.0,73.0,text,3
32.0,1002.0,664946.0,87.0,text,3
32.0,1293.0,754666.0,101.0,text,3
32.0,963.0,849649.0,115.0,text,3
32.0,986.0,953658.0,129.0,text,3
32.0,6041.0,1059642.0,142.0,text,3
32.0,4800.0,1151194.0,157.0,text,3
32.0,7754.0,7759.0,0.0,text,4
32.0,11853.0,20636.0,1.0,text,4
81.0,30226.0,51885.0,2.0,text,4
32.0,2702.0,77419.0,4.0,text,4
32.0,35225.0,183004.0,14.0,text,4
32.0,1668.0,185675.0,15.0,text,4
32.0,3132.0,278539.0,29.0,text,4
32.0,5275.0,355482.0,43.0,text,4
32.0,3852.0,437130.0,57.0,text,4
32.0,5755.0,518602.0,71.0,text,4
32.0,8763.0,609082.0,85.0,text,4
32.0,2857.0,688553.0,99.0,text,4
32.0,2314.0,772249.0,113.0,text,4
32.0,2337.0,866057.0,127.0,text,4
32.0,4496.0,957592.0,140.0,text,4
32.0,2274.0,1026888.0,155.0,text,4
32.0,6623.0,6629.0,0.0,text,5
